query_id,original_query,generated_question
q1,What are popular attractions in Seattle?,What are some popular attractions in Seattle?
q1,What are popular attractions in Seattle?,What attractions does Seattle offer for tourists?
q1,What are popular attractions in Seattle?,What are the must-see attractions in Seattle?
q1,What are popular attractions in Seattle?,"Are there any lesser-known, popular attractions in Seattle?"
q1,What are popular attractions in Seattle?,What makes Seattle's attractions so popular?
q2,What restaurants serve vegan food in Austin?,What restaurants in Austin serve vegan food?
q2,What restaurants serve vegan food in Austin?,What vegan food do restaurants in Austin serve?
q2,What restaurants serve vegan food in Austin?,Are there many restaurants in Austin that serve vegan food?
q2,What restaurants serve vegan food in Austin?,Where in Austin can I find restaurants that serve good vegan food?
q2,What restaurants serve vegan food in Austin?,What are some of the best restaurants in Austin serving vegan options?
q3,What would be a good teambuilding outdoor activity in Manhattan?,What's a good teambuilding outdoor activity in Manhattan?
q3,What would be a good teambuilding outdoor activity in Manhattan?,What are some fun outdoor activities for team building in Manhattan?
q3,What would be a good teambuilding outdoor activity in Manhattan?,What outdoor teambuilding activities are available in Manhattan?
q3,What would be a good teambuilding outdoor activity in Manhattan?,What is a unique outdoor teambuilding experience to try in Manhattan?
q3,What would be a good teambuilding outdoor activity in Manhattan?,What Manhattan outdoor activity would be best for a team-building event?
